Source,Target
71762380,18055613
71762380,385570796
71762380,"8,20367095120548E+017"
71762380,3367628405
71762380,3129467597
71762380,17277285
71762380,17541046
71762380,2820831370
71762380,14084530
71762380,141721058
71762380,2667052088
71762380,376825877
71762380,91120943
71762380,7861842
71762380,2648921
71762380,20720688
71762380,14993466
71762380,3649181
71762380,697893
71762380,5435752
71762380,2384354214
71762380,2806000111
71762380,17518412
71762380,2512683048
71762380,27064840
71762380,1732068618
71762380,80589255
71762380,408847389
71762380,4411041
71762380,242922415
71762380,813286
71762380,29466339
71762380,2748559290
71762380,583506897
71762380,980046830
71762380,118689933
71762380,526624220
71762380,3224063257
71762380,604416116
71762380,15521075
71762380,21253578
71762380,1609565486
71762380,450842550
71762380,3330129005
71762380,487623589
71762380,68442845
71762380,14706299
71762380,15704940
71762380,14186285
71762380,253449166
71762380,51164205
71762380,3005303039
71762380,2861396853
71762380,73141192
71762380,3449458414
71762380,6948072
71762380,563030218
71762380,231581344
71762380,12342812
71762380,278689038
71762380,86390762
71762380,14372621
71762380,3318844765
71762380,16316380
71762380,12006842
71762380,20760436
71762380,12160482
71762380,76352776
71762380,76352295
71762380,75251268
71762380,62492971
962517114,89452000
962517114,"8,19927704850039E+017"
962517114,68442845
962517114,14804579
962517114,76704116
962517114,177788470
962517114,45297280
962517114,130690431
962517114,21594615
962517114,12486322
962517114,1073388199
962517114,10368692
962517114,167234557
962517114,"1,03173238795113E+018"
962517114,990112098
962517114,"1,00404256215452E+018"
962517114,"1,16810900189843E+018"
962517114,"9,77080474467209E+017"
962517114,7014662
962517114,54262769
962517114,16808453
962517114,304400958
962517114,"1,0723082408918E+018"
962517114,2319390320
962517114,223416400
962517114,63812039
962517114,1339835893
962517114,4783690002
962517114,"8,2221567381212E+017"
962517114,"8,22215679726101E+017"
962517114,"7,87107603427885E+017"
962517114,"1,15844402628833E+018"
962517114,"1,03484461726125E+018"
962517114,25073877
962517114,"9,71108358739567E+017"
962517114,16602810
962517114,1636590253
962517114,44196397
962517114,3415205164
962517114,3301593370
962517114,19038934
962517114,19003664
962517114,21106414
962517114,54692326
962517114,245789900
962517114,92858317
962517114,126387479
962517114,319225490
962517114,1465203679
962517114,329276626
962517114,1465230403
962517114,1465196582
962517114,1465166731
962517114,2163338126
962517114,"1,00641942124468E+018"
962517114,"1,13422919880407E+018"
962517114,12609292
962517114,"1,13100971837621E+018"
962517114,38458894
962517114,32015343
962517114,567551419
962517114,197987694
962517114,44491851
962517114,22756947
962517114,16014840
962517114,430995737
962517114,345673106
962517114,242645565
962517114,1381038708
962517114,2800780073
962517114,17136564
962517114,20562855
962517114,"1,15700185167979E+018"
962517114,61127825
962517114,807095
962517114,2467791
962517114,344956335
962517114,15438913
962517114,14293310
962517114,16343974
962517114,16973333
962517114,14511951
962517114,87818409
962517114,15012486
962517114,4898091
962517114,14173315
962517114,18949452
962517114,28785486
962517114,34713362
962517114,51241574
962517114,91478624
962517114,612473
962517114,5402612
962517114,742143
962517114,759251
962517114,428333
962517114,1652541
962517114,5392522
962517114,5988062
962517114,"9,55369491847893E+017"
962517114,3108351
962517114,2893374305
962517114,36554224
962517114,"7,55944333136765E+017"
962517114,465658169
962517114,91193025
962517114,16825289
962517114,14677919
962517114,15492359
962517114,3063892619
962517114,"8,00935720080855E+017"
962517114,3321155353
962517114,550247610
962517114,1118451
962517114,302666251
962517114,266400754
962517114,87775422
962517114,3127512208
962517114,333430027
962517114,20664366
962517114,150621067
962517114,17620820
962517114,14627400
962517114,15134408
962517114,16173592
962517114,12579252
962517114,303862998
962517114,"9,3785262508467E+017"
962517114,1227923534
962517114,62647280
962517114,3015082107
962517114,"1,03522126714895E+018"
962517114,988465844
962517114,218565801
962517114,490962584
962517114,"9,69922424534913E+017"
962517114,3307138813
962517114,2439889542
962517114,1138959692
962517114,3173809816
962517114,3286770860
962517114,2813398537
962517114,14262678
962517114,468741166
962517114,2459609448
962517114,34714943
962517114,17427993
962517114,14713787
962517114,14260960
962517114,110244676
962517114,71762380
962517114,15782703
962517114,519483
962517114,17993404
962517114,2178454160
962517114,951637830
962517114,55733752
962517114,12241142
962517114,18358277
962517114,12785742
962517114,"1,00299828408291E+018"
962517114,68639853
962517114,1615618795
962517114,2590211671
962517114,285206123
962517114,"7,97080163381113E+017"
962517114,"1,07153480829413E+018"
962517114,"7,71681593496892E+017"
962517114,14504859
962517114,3438740353
962517114,30774144
962517114,145179143
962517114,"9,19824951510741E+017"
962517114,308587014
962517114,14160039
962517114,"1,13087877328348E+018"
962517114,2470127457
962517114,24919888
962517114,14982625
962517114,49012699
962517114,15102849
962517114,159588456
962517114,37710752
962517114,20060293
962517114,487623589
962517114,19725644
962517114,93714983
962517114,50115087
962517114,65647594
962517114,13298072
962517114,1451773004
962517114,21090033
962517114,351663167
